# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.app.storage.content.writer.save.component.ms,1768466622678000000,1768466645249000000,3
workspaceModel.mutableEntityStorage.entities.by.source.ms,1768466622678000000,1768466645249000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1768466622678000000,1768466645249000000,0
jps.global.initialize.library.bridges.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1768466622678000000,1768466645249000000,0
workspaceModel.global.apply.state.to.project.ms,1768466622678000000,1768466645249000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1768466622678000000,1768466645249000000,0
workspaceModel.load.cache.metadata.from.file.ms,1768466622678000000,1768466645249000000,0
jps.library.entities.serializer.load.entities.ms,1768466622678000000,1768466645249000000,0
jps.global.get.library.by.name.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1768466622678000000,1768466645249000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1768466622678000000,1768466645249000000,0
workspaceModel.load.cache.from.file.ms,1768466622678000000,1768466645249000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1768466622678000000,1768466645249000000,0
workspaceModel.do.save.caches.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1768466622678000000,1768466645249000000,0
jps.global.initialize.library.bridges.after.loading.ms,1768466622678000000,1768466645249000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1768466622678000000,1768466645249000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1768466622678000000,1768466645249000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1768466622678000000,1768466645249000000,0
jps.global.get.libraries.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.entities.ms,1768466622678000000,1768466645249000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1768466622678000000,1768466645249000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1768466622678000000,1768466645249000000,0
workspaceModel.sync.entities.ms,1768466622678000000,1768466645249000000,0
jps.library.entities.serializer.save.entities.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1768466622678000000,1768466645249000000,0
workspaceModel.global.updates.ms,1768466622678000000,1768466645249000000,0
jps.save.global.entities.ms,1768466622678000000,1768466645249000000,10
workspaceModel.global.updates.count,1768466622678000000,1768466645249000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1768466622678000000,1768466645249000000,0
