# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.sync.entities.ms,1768467272272000000,1768467296038000000,0
jps.global.handle.changed.events.ms,1768467272272000000,1768467296038000000,0
workspaceModel.global.apply.state.to.project.ms,1768467272272000000,1768467296038000000,0
workspaceModel.global.updates.count,1768467272272000000,1768467296038000000,0
workspaceModel.mutableEntityStorage.instances.count,1768467272272000000,1768467296038000000,4
workspaceModel.save.cache.to.file.ms,1768467272272000000,1768467296038000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1768467272272000000,1768467296038000000,0
writeAction.count,1768467272272000000,1768467296038000000,5
writeAction.median.wait.ms,1768467272272000000,1768467296038000000,0
writeAction.max.wait.ms,1768467272272000000,1768467296038000000,1
DiskQueryRelay.tasksRequested,1768467272272000000,1768467296038000000,31
DiskQueryRelay.taskExecutionTotalTimeUs,1768467272272000000,1768467296038000000,3704
lexer.LogcatFilter.time.ns,1768467272272000000,1768467296038000000,1697300
lexer.LogcatFilter.size.bytes,1768467272272000000,1768467296038000000,0
parser.LogcatFilter.size.bytes,1768467272272000000,1768467296038000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1768467272272000000,1768467296038000000,317200
parser.LogcatFilter.time.ns,1768467272272000000,1768467296038000000,5197500
DiskQueryRelay.tasksExecuted,1768467272272000000,1768467296038000000,31
writeAction.wait.ms,1768467272272000000,1768467296038000000,2
Indexing.cache.totalCacheMisses,1768467272272000000,1768467296038000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1768467272272000000,1768467296038000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1768467272272000000,1768467296038000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1768467272272000000,1768467296038000000,0
Indexing.totalTimeIndexersSleptMs,1768467272272000000,1768467296038000000,0
Indexing.cache.totalCacheEvicted,1768467272272000000,1768467296038000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1768467272272000000,1768467296038000000,0
Indexing.cache.totalCacheAccesses,1768467272272000000,1768467296038000000,0
Indexing.writesQueuedMax,1768467272272000000,1768467296038000000,0
Indexing.writesQueuedMin,1768467272272000000,1768467296038000000,0
Indexing.writesQueuedAvg,1768467272272000000,1768467296038000000,0.0
workspaceModel.updates.precise.ms,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValue.calculated.count,1768467272272000000,1768467296038000000,1
workspaceModel.collect.changes.ms,1768467272272000000,1768467296038000000,0
workspaceModel.on.before.changed.ms,1768467272272000000,1768467296038000000,0
workspaceModel.init.bridges.ms,1768467272272000000,1768467296038000000,0
workspaceModel.replace.project.model.ms,1768467272272000000,1768467296038000000,0
workspaceModel.check.recursive.update.ms,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValueWithParameters.clear.count,1768467272272000000,1768467296038000000,0
workspaceModel.to.snapshot.ms,1768467272272000000,1768467296038000000,0
workspaceModel.loading.from.cache.ms,1768467272272000000,1768467296038000000,23
workspaceModel.cachedValue.clear.count,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1768467272272000000,1768467296038000000,0
workspaceModel.updates.ms,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValue.from.cache.count,1768467272272000000,1768467296038000000,1
workspaceModel.loading.total.ms,1768467272272000000,1768467296038000000,31
workspaceModel.full.replace.project.model.ms,1768467272272000000,1768467296038000000,0
workspaceModel.updates.count,1768467272272000000,1768467296038000000,0
workspaceModel.update.unloaded.entities.ms,1768467272272000000,1768467296038000000,0
workspaceModel.on.changed.ms,1768467272272000000,1768467296038000000,0
workspaceModel.initializing.ms,1768467272272000000,1768467296038000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1768467272272000000,1768467296038000000,0
workspaceModel.pre.handlers.ms,1768467272272000000,1768467296038000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1768467272272000000,1768467296038000000,3
workspaceModel.cachedValue.total.get.count,1768467272272000000,1768467296038000000,2
